Day,Name,Purple,White
10,P,2000000000,0
10,P,1800000000,0
10,P,4000000000,0
20,P,11000000000,600000000
20,P,7200000000,2600000000
20,P,10600000000,800000000
20,W,8600000000,0
20,W,11400000000,200000000
20,W,10200000000,200000000
32,P,8100000000,980000000
32,P,3500000000,540000000
32,P,3460000000,820000000
32,W,4480000000,3580000000
32,W,6680000000,500000000
32,W,6860000000,940000000
41,P,5240000000,700000000
41,P,4120000000,4160000000
41,P,4700000000,1680000000
41,W,4100000000,1240000000
41,W,4360000000,1680000000
41,W,5560000000,480000000
